State,Total
Alabama,12
Alaska,3
Arizona,9
Arkansas,10
California,54
Colorado,14
Connecticut,8
Delaware,2
District of Columbia,4
Florida,14
Georgia,14
Hawaii,3
Idaho,7
Illinois,32
Indiana,19
Iowa,18
Kansas,16
Kentucky,8
Louisiana,13
Maine,6
Maryland,8
Massachusetts,19
Michigan,22
Minnesota,18
Mississippi,9
Missouri,20
Montana,6
Nebraska,10
Nevada,3
New Hampshire,3
New Jersey,11
New Mexico,6
New York,60
North Carolina,13
North Dakota,6
Ohio,26
Oklahoma,15
Oregon,16
Pennsylvania,39
Puerto Rico,4
Rhode Island,6
South Carolina,8
South Dakota,11
Tennessee,13
Texas,52
Utah,7
Vermont,5
Virgin Islands,7
Virginia,12
Washington,24
West Virginia,7
Wisconsin,19
Wyoming,3
Total,738